mark,price
2ППС,1784.1666666666667
A.C.M.,450.0
ABG Titan,59400.0
ABM,325.0
ADR Trailers,56000.0
AIMA,1200.0
ALEKO,3650.0
AM,8000.0
ATM,12000.0
ATV,777.5
AUREPA,20000.0
Abarth,6000.0
Abbey,12999.0
Ace,7700.0
Acerbi,32000.0
Ackermann Fruehauf,14000.0
Ackermann-Fruehauf,8324.75
Acura,19712.680327868853
Adige,23500.0
Adria,5366.333333333333
Adventure,1241.3333333333333
Ahlmann,8000.0
Aiways,26000.0
Al-ko,2147.75
Alesin,600.0
Alfa,320.2857142857143
Alfa Romeo,29426.138461538463
Alfamoto,572.3333333333334
Alga,11000.0
Alpha,935.5263157894736
Alpine,10000.0
Ammann,41749.5
Aprilia,2271.285714285714
Arctic cat,5300.0
Argo,2700.0
Asia,4500.0
Aston Martin,264036.8
Ataman,14000.0
Atlant-Boat,1450.0
Atlantic,35500.0
Atlas,17400.0
Atlas Copco,7500.0
Audi,23628.9880697461
Austin,9982.0
Auto Moto,1365.0
Autosan,27900.0
Avatr,48100.0
Avento,3950.0
Azimut,750000.0
BAIC,6633.333333333333
BMW,25987.084026845638
BMW Marine,250.0
BMW-Alpina,149454.33333333334
BOS,790.0
BOVA,9000.0
BRIG,7625.0
BRP,17903.85714285714
BSE,1837.8181818181818
BSLT,24749.5
BT Toyota,13932.0
BYD,24087.425
Bailey Discovery,11499.0
Bailey Pageant,15500.0
Bailey Pagent,25999.0
Bajaj,2375.3924050632913
Balkancar,5750.0
Bandit,59400.0
Barkas (Баркас),1424.5
Bartoletti,4000.0
Bashan,650.0
Bavaria,78200.0
Bayliner,23106.666666666668
Benalu,24951.137931034482
Benelli,3837.5
Beneteau,534600.0
Bentley,194084.19047619047
Berger,12800.0
Berthoud,162000.0
Besttrailers,5550.0
Beta,2000.0
Big Bear Choppers,20000.0
Big dog,14250.0
Bobcat,38592.791666666664
Bockmann,4686.0
Bodex,26022.659090909092
Bomag,28764.0
Boratas,752220.0
Borex ( БОРЭКС*),12500.0
Boro,4850.0
Brenderup,4699.0
Brian James,3200.0
Broddson AB,59076.0
Broshuis,17230.0
Buick,15836.367346938776
Bulthuis,18360.0
Bumar,70000.0
Burg,22166.666666666668
Buster,26500.0
CAMC,18000.0
CFMOTO,7016.666666666667
CIMC SilverGreen,26700.0
CMT,19200.0
Cadillac,37891.94915254237
Campion,26500.0
Caravelair,13999.0
Cardi,42300.0
Carmix,16000.0
Carnehl,18469.53846153846
Case Construction,100000.0
Case IH,40465.0
Caterpillar,56263.4
Cenntro,24471.25
Cf moto,8510.416666666666
Chana,2650.0
Changan,31017.40625
Changhe,2425.0
Chaparral,33250.0
Chereau,15166.333333333334
Chery,10436.309701492537
Chevrolet,9143.188552188552
Chrysler,10074.672897196262
Citroen,11357.951515151515
Citycoco,1421.8333333333333
Claas,73000.0
Coachworks,8000.0
Coder,11750.0
Combilift,86292.0
Comet,21600.0
Comman,1879.7619047619048
Compact Truck,65000.0
Crownline,44500.0
Cupra,44142.6
DAF,24840.54892601432
DB,4300.0
DON BUR,19600.0
DS,29645.0
Dacia,5773.48679245283
Dadi,4100.0
Daelim,1500.0
Daewoo,2407.0923976608187
Daihatsu,5477.88
Dapa,10000.0
De Alm,383400.0
Defiant,300.0
Delta,228.0
Demag,183600.0
Denago,3850.0
Dennison,7314.142857142857
Denza,67000.0
Desot,6000.0
